customer_id,full_name,email,phone,ssn,date_of_birth,address,city,country
1,Jerry Ponce,lauraanderson@example.org,3011241899,767-18-1075,1981-04-16,6965 Kramer Stravenue,East Davidberg,UK
2,Pamela Edwards,meghangibbs@example.net,8779401131,701-85-1385,1997-08-09,3364 Woods Court,Walkerview,India
3,Stephanie Jackson,julia67@example.org,2562874148,505-45-7237,1987-01-22,21135 Michael Garden Suite 688,Johntown,India
4,Mario Sandoval,xtravis@example.com,5023591134,653-56-5443,1992-01-04,1740 Matthew Road,South Brendan,Canada
5,Gerald Hayes,ijackson@example.org,5243480546,240-53-2814,1984-05-31,550 Jacqueline Loaf,Joseland,UK
6,Barbara Davis,estradabenjamin@example.com,5953675525,308-52-7417,1986-04-13,729 Courtney Rapids Suite 908,Valenciamouth,UK
7,Adam Frederick,simsamanda@example.com,5578335093,303-54-2936,2002-07-27,37544 Dixon Parkways Apt. 660,South Victor,Germany
8,Melody Bowen,dustinlivingston@example.org,0684695187,381-35-8735,2006-04-06,139 Joseph Junction,Ericside,USA
9,Sierra Soto,paulperez@example.net,3626858427,759-63-6507,1970-07-26,403 Benjamin Stream,Stephenmouth,India
10,Joseph Brown,susanmelendez@example.net,1948671764,612-76-3110,1994-02-16,696 Chelsea Shore,North Austinshire,India
11,Courtney Moore,rlopez@example.net,4490619929,233-93-1512,1988-10-06,2309 Brian Heights Apt. 134,North Kaylabury,USA
12,Harold Wagner,atkinsonpatricia@example.net,3499094355,101-67-1234,1995-05-04,1005 Jennifer Trail Suite 340,Port Jasmine,India
13,Matthew Carey,christianfrancis@example.net,0094411403,748-26-2188,2003-03-05,101 Martin Island Apt. 889,Donnaberg,Australia
14,Shane Benson,fhartman@example.org,6614072280,398-43-8886,1989-06-06,0540 Santos Mission,North Mark,USA
15,Donald Leon,michaelgordon@example.org,1809958600,248-41-6432,1999-08-23,20528 Kathryn Crescent Suite 300,Annville,UK
16,Krystal Bowen,johnrandall@example.com,0949188847,499-21-1087,1975-02-18,41846 Matthews Mountain Suite 586,North Bryanview,UK
17,Ethan Harrell,michael15@example.org,9686294905,411-23-6575,1988-05-18,5642 Jennifer Forks Suite 092,West Timothyhaven,UAE
18,Jeanne Valdez,williamssandra@example.org,9160829536,364-58-9367,1988-01-14,51896 Shaw Tunnel,Juanberg,UK
19,Jeremy Lane,popeemily@example.com,0361987494,924-50-7037,1970-12-02,2971 Green Isle Apt. 640,Davidstad,Singapore
20,Joseph Harrell,karina18@example.com,9054660290,616-32-1098,2007-09-16,001 Alexis Views,Pollardbury,UAE
21,Holly Sims,sophia86@example.net,5655197950,792-29-7358,1991-01-16,06444 Pearson Ports Apt. 557,South Andreaberg,Singapore
22,Matthew Boyd,rrichards@example.org,0495949463,110-97-5172,1998-10-04,8833 Marie Manor Apt. 639,Pamelahaven,Germany
23,Julie Hamilton,nwallace@example.org,4274850970,127-73-2706,1983-08-11,372 Nicole Dale Suite 736,New Davidland,USA
24,David Reeves,garrettmia@example.com,2236609911,438-27-5262,1998-12-08,6476 Collin Ports Apt. 945,Arnoldburgh,Germany
25,Alexis Case DVM,jacksoncody@example.net,2622683571,508-89-4065,1986-06-27,821 Terrell Radial,Erinburgh,Canada
26,Christine Dixon,gthompson@example.org,3059336071,108-79-5838,2003-06-01,714 Christine Groves Apt. 598,East Walter,Singapore
27,Stacey Ellison,crystalskinner@example.org,9609243793,904-87-4743,2007-10-18,9031 Sanders Mission,Huntertown,UAE
28,Jared Holland,mark58@example.com,4845867590,409-57-6329,2002-06-07,060 Davenport Station Apt. 008,Stephaniefurt,Germany
29,Alexander Roy,alyssachavez@example.org,0755808819,624-59-8665,1982-01-18,1140 Hunt Lodge Suite 607,South Melissa,USA
30,Anne Scott,jack92@example.com,5323692198,612-62-7866,1996-07-29,52519 Travis River Apt. 035,Angelaside,Germany
31,Robert Thomas,akidd@example.net,1901401795,917-39-9140,1972-03-28,172 James Estate,Christopherton,Germany
32,Michael Reed,sarahmcbride@example.net,2826161267,953-50-5005,1980-12-04,113 Perkins Stream Apt. 649,Lisaburgh,USA
33,William Kelly,moorevincent@example.net,1617002193,711-43-5367,1996-11-10,313 Bianca Divide Suite 199,Daleside,USA
34,Timothy Aguirre,thomas92@example.org,1494898224,471-89-6689,1997-04-09,876 Davenport Curve Suite 329,Port Mario,Germany
35,Elizabeth Crawford,nelsonantonio@example.com,2924475284,346-44-9658,1986-04-18,11611 Adam Trail Apt. 819,Christinemouth,Singapore
36,Vanessa Hall,mjordan@example.net,0311529275,144-72-7810,1974-05-24,29115 Burnett Keys Suite 271,Jonathanport,USA
37,Carol Austin,olsenbrian@example.org,1280143565,881-65-4161,2005-08-12,87885 James Lights,Joannatown,UK
38,Marcus Valdez,vhiggins@example.com,2872100579,315-85-4405,1973-12-23,30775 Mary Pine,Andrewburgh,USA
39,Larry Shields,allen63@example.com,0224785929,549-83-6295,1980-08-04,3360 Martinez Rapids Apt. 148,North Aarontown,USA
40,Kristen Duncan,eandrade@example.org,3049407309,738-23-7597,1969-11-24,30541 Timothy Estates,Tabithaton,India
41,Lisa Wang,james31@example.net,9186280831,657-31-6472,1992-02-01,6826 Estes Row,Katieville,Germany
42,Ronald Alvarez,ejordan@example.org,6979759531,707-51-5035,1978-08-21,4374 Morris Freeway,Karenchester,Germany
43,Steven Mendoza,leslie90@example.com,4672245468,837-98-2872,2006-12-06,7779 Kim Ports,Lake Nicholas,Germany
44,Wesley Bartlett,fkirk@example.org,8943738011,628-74-8114,2001-08-03,06172 Vasquez Square,Lake David,Australia
45,Patricia Lucas,jennifer79@example.com,2767648669,703-74-9873,1990-03-15,68664 Bradley Plains,Kennedybury,Germany
46,John Weeks,mpatrick@example.com,8739304683,760-49-7312,2002-02-07,87234 Jill Mountains Suite 731,Lake Matthewstad,Canada
47,Matthew Watson,allisonpalmer@example.net,1436495805,670-81-8872,2000-06-03,69898 Cooper Mill Suite 420,Lake Alexander,Canada
48,Valerie Hill,nbush@example.org,6703053151,336-47-5558,2003-12-19,608 Walsh Heights Apt. 661,East Michele,Germany
49,Jessica Collins,jean08@example.net,1935320486,629-82-1505,1972-11-09,694 Robert Street Apt. 949,Lake David,UK
50,Rhonda Adkins,emilywoods@example.net,8963900354,621-96-7210,1983-08-13,5069 Laurie Track,North Ronald,Canada
51,Christine Reyes,shannonmiller@example.org,3647085797,760-23-5585,2004-04-09,160 Michael Trace Apt. 950,Angelaburgh,Canada
52,Mr. Ryan Parker DVM,diazcaitlin@example.org,5595623282,822-39-5249,2000-10-30,6877 Burns Springs,Port Brentbury,UK
53,Ashley Ward,daltonhubbard@example.org,0807644156,573-42-5385,1984-04-21,28721 Burns Throughway Apt. 343,West Richardport,India
54,Sarah Lloyd,ashleykimberly@example.net,7383933993,431-93-6106,1965-05-23,3733 Dylan Loaf Suite 728,West Christopherland,Singapore
55,Alicia Anderson,matthew60@example.org,8424218927,999-26-6468,1982-10-21,792 Gallagher Mountains Suite 782,East Marissa,USA
56,Terry Fernandez,garciawalter@example.com,8831747540,127-81-9385,1999-09-26,3396 Melissa Vista Apt. 394,North Robert,Australia
57,Matthew Turner,codyhicks@example.net,5402407176,462-34-8041,2007-07-07,37763 Lee Lock,Christinachester,Canada
